,filename,discrete_pauses,actual_pauses
0,0,"['x-strong', 'strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'weak', 'x-strong']","[0.8799999999999999, 0.08000000000000007, 0.08000000000000007, 0.15000000000000036, 0.8499999999999996, 0.120000000000001, 0.9000000000000004, 0.8599999999999994, 0.05999999999999872, 0.10999999999999943, 0.9000000000000021, 0.16000000000000014, 0.17999999999999972, 0.8900000000000006, 0.14000000000000057, 0.1600000000000037, 0.9100000000000037, 0.030000000000001137, 0.8699999999999974]"
0,1,"['strong', 'strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'medium-p', 'medium-p']","[0.17000000000000037, 0.8799999999999999, 0.9299999999999997, 0.07000000000000028, 0.8999999999999986, 0.8800000000000026, 0.8900000000000006, 0.9000000000000021, 0.8799999999999955, 0.060000000000002274, 0.0800000000000054]"
0,2,"['strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong']","[0.8699999999999999, 0.8899999999999997, 0.1899999999999995, 0.9199999999999999, 0.9100000000000001, 0.8900000000000006, 0.8999999999999986, 0.8800000000000026, 0.9200000000000017, 0.9100000000000037, 0.9200000000000017, 0.8800000000000026, 0.8999999999999986]"
0,3,"['x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'strong', 'strong', 'x-strong']","[0.8899999999999999, 0.9099999999999993, 0.16999999999999993, 0.870000000000001, 0.1700000000000017, 0.8599999999999994, 0.07000000000000028, 0.07000000000000028, 0.09999999999999787, 0.129999999999999, 0.8699999999999974, 0.19000000000000483, 0.8900000000000006, 0.8900000000000006, 0.07000000000000028, 0.8800000000000026, 0.03999999999999915, 0.07000000000000028, 0.9399999999999977, 0.05999999999999517, 0.14000000000000057, 0.9100000000000037]"
0,4,"['x-strong', 'strong', 'x-strong', 'medium-p', 'medium-p', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'medium-p', 'strong', 'medium-p']","[0.8900000000000001, 0.16999999999999993, 0.8700000000000001, 0.05000000000000071, 0.0600000000000005, 0.10999999999999943, 0.870000000000001, 0.8900000000000006, 0.11000000000000298, 0.8900000000000006, 0.1700000000000017, 0.8800000000000026, 0.07000000000000028, 0.8699999999999974, 0.07000000000000028]"
0,5,"['strong', 'strong', 'medium-p', 'x-strong', 'medium-p', 'x-strong', 'medium-p', 'medium-p', 'x-strong', 'strong', 'x-strong', 'weak', 'x-strong', 'medium-p', 'strong']","[0.13999999999999968, 0.8599999999999994, 0.08000000000000007, 0.8999999999999986, 0.10000000000000142, 0.8699999999999992, 0.10000000000000142, 0.0799999999999983, 0.8900000000000006, 0.120000000000001, 0.9299999999999997, 0.05000000000000071, 0.9200000000000017, 0.07000000000000028, 0.12000000000000455]"
0,6,"['medium-p', 'x-strong', 'strong', 'x-strong', 'x-strong', 'medium-p', 'strong', 'x-strong', 'x-strong', 'strong', 'x-weak', 'x-strong', 'strong', 'strong', 'strong', 'strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong']","[0.040000000000000036, 0.8900000000000006, 0.16000000000000014, 0.8800000000000008, 0.870000000000001, 0.05000000000000071, 0.07000000000000028, 0.8900000000000006, 0.870000000000001, 0.07000000000000028, 0.010000000000001563, 0.8800000000000026, 0.17999999999999972, 0.8600000000000065, 0.3300000000000054, 0.8599999999999994, 1.1199999999999974, 0.8500000000000014, 0.07000000000000028, 0.8999999999999986, 0.8799999999999955]"
0,7,"['strong', 'x-strong', 'weak', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'weak', 'x-strong', 'x-strong', 'medium-p', 'x-strong', 'x-strong', 'strong', 'medium-p', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong']","[0.11999999999999966, 0.8899999999999997, 0.02999999999999936, 0.08999999999999986, 0.8800000000000008, 0.3800000000000008, 0.9000000000000021, 0.879999999999999, 0.10000000000000142, 0.10999999999999943, 0.9100000000000037, 0.0800000000000054, 0.8800000000000026, 0.8600000000000065, 0.10999999999999943, 0.8799999999999955, 0.07000000000000028, 0.03999999999999915, 0.8900000000000006, 0.9099999999999966, 0.04999999999999716, 0.9100000000000037, 0.8700000000000045, 0.28999999999999204, 0.060000000000002274, 0.9200000000000017, 0.1599999999999966, 0.8900000000000006, 0.14999999999999147, 0.8599999999999994, 0.14000000000000057]"
0,8,"['strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong', 'strong', 'x-strong']","[0.13999999999999968, 0.8700000000000001, 0.17999999999999972, 0.8699999999999992, 0.10000000000000142, 0.9100000000000001, 0.07000000000000028, 0.21000000000000085, 0.1700000000000017, 0.8999999999999986]"
0,9,"['x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'x-strong', 'strong', 'strong', 'x-strong', 'x-strong', 'strong', 'x-strong', 'x-strong', 'strong']","[0.9000000000000001, 0.8899999999999997, 0.10000000000000142, 0.08000000000000007, 0.8900000000000006, 0.879999999999999, 0.9000000000000021, 0.879999999999999, 0.8999999999999986, 0.14000000000000057, 0.1599999999999966, 0.8899999999999935, 0.9000000000000057, 0.1700000000000017, 0.8900000000000006, 0.8699999999999974, 0.0799999999999983]"
