,filename,discrete_lengths
0,0,"['medium', 'slow', 'fast', 'x-fast', 'fast', 'x-fast', 'x-slow', 'fast', 'slow', 'slow', 'medium', 'x-slow', 'fast', 'x-slow', 'fast', 'fast', 'x-slow', 'fast', 'slow', 'slow', 'x-fast', 'x-fast', 'fast', 'slow', 'x-slow', 'fast', 'medium', 'x-fast', 'x-fast', 'slow', 'x-fast', 'slow', 'x-fast', 'slow', 'x-fast', 'x-slow', 'x-fast', 'medium', 'x-fast', 'x-slow', 'x-fast', 'x-fast', 'slow', 'fast', 'x-fast', 'medium', 'x-slow', 'slow', 'x-fast', 'x-fast', 'x-slow', 'fast', 'medium', 'medium', 'medium', 'fast', 'slow', 'x-slow', 'x-slow', 'x-slow', 'x-fast', 'x-slow', 'fast', 'x-slow', 'fast', 'medium', 'x-fast', 'x-slow', 'slow', 'medium', 'medium', 'fast', 'slow', 'medium', 'slow', 'fast', 'x-fast', 'x-slow', 'x-fast', 'x-slow', 'fast', 'slow', 'fast', 'slow', 'x-fast', 'slow', 'medium', 'slow', 'medium', 'x-fast', 'slow', 'medium', 'medium', 'medium', 'medium', 'medium', 'fast', 'x-fast', 'fast', 'slow', 'fast', 'fast', 'fast', 'x-fast', 'x-slow', 'x-fast', 'x-slow', 'x-fast', 'x-slow', 'fast', 'medium', 'x-slow', 'x-fast', 'slow', 'slow', 'medium', 'slow', 'medium', 'x-slow', 'medium', 'medium', 'x-fast', 'slow', 'fast', 'x-slow', 'medium', 'fast', 'x-fast', 'medium', 'x-slow', 'medium', 'slow', 'fast', 'slow', 'x-fast', 'x-fast', 'x-slow', 'x-slow', 'slow', 'x-fast', 'medium', 'fast', 'x-slow', 'fast', 'fast', 'slow', 'medium', 'x-slow', 'x-fast', 'slow', 'medium', 'medium', 'slow', 'x-slow']"
0,1,"['medium', 'fast', 'slow', 'slow', 'fast', 'x-slow', 'fast', 'fast', 'x-fast', 'slow', 'slow', 'x-fast', 'x-slow', 'slow', 'x-fast', 'slow', 'slow', 'x-fast', 'x-fast', 'medium', 'fast', 'x-slow', 'medium', 'x-fast', 'medium', 'medium', 'x-slow', 'fast', 'x-fast', 'fast', 'slow', 'x-fast', 'x-fast', 'x-slow', 'slow', 'fast', 'slow', 'x-fast', 'x-fast', 'medium', 'x-slow', 'medium', 'x-slow', 'medium', 'fast', 'x-fast', 'x-fast', 'fast', 'x-slow', 'x-slow', 'slow', 'fast', 'x-fast', 'x-slow', 'x-slow', 'medium', 'x-fast', 'medium', 'x-slow', 'medium', 'slow', 'medium', 'fast', 'x-fast', 'medium', 'x-slow', 'fast', 'medium', 'medium', 'medium', 'medium', 'fast', 'fast', 'fast', 'slow', 'slow', 'medium', 'fast', 'fast', 'fast', 'fast', 'x-fast', 'slow', 'fast', 'x-slow', 'x-slow', 'medium', 'x-fast', 'x-slow', 'fast', 'slow', 'slow', 'x-slow', 'medium', 'fast', 'x-fast', 'x-slow', 'slow', 'x-slow', 'x-slow', 'medium', 'x-slow', 'medium', 'slow', 'x-fast', 'x-fast', 'medium', 'x-fast', 'x-slow']"
0,2,"['fast', 'medium', 'fast', 'slow', 'x-fast', 'fast', 'x-fast', 'slow', 'x-fast', 'x-fast', 'x-fast', 'x-fast', 'medium', 'x-fast', 'slow', 'x-slow', 'medium', 'fast', 'x-slow', 'slow', 'fast', 'x-slow', 'medium', 'medium', 'x-fast', 'fast', 'x-slow', 'fast', 'fast', 'fast', 'x-fast', 'x-fast', 'fast', 'fast', 'fast', 'x-slow', 'fast', 'x-fast', 'fast', 'x-fast', 'x-slow', 'medium', 'x-slow', 'x-fast', 'fast', 'medium', 'medium', 'medium', 'x-slow', 'medium', 'x-fast', 'x-fast', 'fast', 'slow', 'slow', 'medium', 'x-slow', 'x-slow', 'slow', 'slow', 'x-fast', 'medium', 'fast', 'fast', 'x-slow', 'slow', 'fast', 'x-fast', 'x-fast', 'slow', 'fast', 'slow', 'fast', 'medium', 'x-slow', 'medium', 'fast', 'slow', 'x-fast', 'x-slow', 'fast', 'x-slow', 'medium', 'slow', 'fast', 'fast', 'x-slow', 'medium', 'fast', 'fast', 'x-fast', 'x-fast', 'x-slow', 'fast', 'fast', 'slow', 'medium', 'slow', 'x-fast', 'fast', 'slow', 'x-fast', 'slow', 'slow', 'x-fast', 'x-slow', 'slow', 'x-slow', 'fast', 'fast', 'slow', 'fast', 'fast', 'x-fast', 'slow', 'fast', 'x-slow', 'x-slow', 'medium', 'slow', 'x-slow', 'fast', 'fast', 'slow', 'slow', 'fast', 'slow', 'x-slow', 'slow', 'medium', 'fast', 'x-slow', 'fast', 'fast', 'fast', 'fast', 'x-fast', 'slow', 'medium', 'x-fast', 'x-slow', 'x-slow', 'medium', 'fast', 'x-slow', 'medium', 'slow', 'fast', 'medium', 'x-fast', 'x-slow', 'x-slow', 'medium', 'x-fast', 'x-fast', 'x-slow', 'medium', 'medium', 'x-fast', 'slow', 'x-fast', 'slow', 'x-fast', 'x-slow', 'x-fast', 'slow', 'x-slow', 'fast', 'slow']"
0,3,"['fast', 'medium', 'medium', 'medium', 'fast', 'medium', 'x-fast', 'slow', 'x-fast', 'x-fast', 'fast', 'fast', 'slow', 'x-slow', 'fast', 'x-fast', 'slow', 'x-slow', 'medium', 'medium', 'fast', 'medium', 'x-slow', 'medium', 'fast', 'slow', 'x-fast', 'x-slow', 'medium', 'medium', 'fast', 'x-fast', 'fast', 'fast', 'slow', 'x-fast', 'x-slow', 'x-slow', 'fast', 'x-fast', 'x-fast', 'x-slow', 'medium', 'x-fast', 'medium', 'fast', 'medium', 'slow', 'slow', 'medium', 'fast', 'slow', 'fast', 'x-fast', 'x-slow', 'x-slow', 'medium', 'fast', 'slow', 'x-fast', 'slow', 'x-fast', 'medium', 'x-slow', 'medium', 'fast', 'slow', 'x-fast', 'x-fast', 'x-slow', 'x-slow', 'slow', 'x-fast', 'fast', 'x-fast', 'x-fast', 'x-slow', 'fast', 'x-slow', 'x-fast', 'slow', 'x-slow', 'x-slow', 'medium', 'fast', 'x-slow', 'x-fast', 'x-fast', 'x-slow', 'slow', 'x-slow', 'fast', 'medium', 'x-slow', 'x-slow', 'medium', 'x-slow', 'fast', 'fast', 'x-slow', 'fast', 'fast', 'x-slow', 'slow', 'x-fast', 'medium', 'x-fast', 'x-slow', 'slow', 'slow', 'medium', 'x-slow', 'fast', 'fast', 'slow', 'x-fast', 'x-fast', 'fast', 'fast', 'slow', 'fast', 'fast', 'x-fast', 'slow', 'slow', 'slow', 'x-fast', 'x-fast', 'x-slow', 'x-slow', 'slow', 'fast', 'medium', 'fast', 'fast', 'slow', 'slow', 'medium', 'slow', 'fast', 'fast', 'x-slow', 'medium', 'fast', 'slow', 'x-fast', 'slow', 'x-fast', 'fast', 'x-slow', 'fast', 'medium', 'x-fast', 'slow', 'medium', 'medium', 'slow', 'x-slow', 'medium', 'x-slow', 'x-fast', 'x-fast', 'x-slow', 'slow', 'medium', 'fast', 'x-fast', 'fast', 'slow', 'slow', 'x-slow', 'medium', 'slow', 'x-fast', 'fast', 'slow', 'x-slow', 'fast', 'x-slow', 'medium', 'x-fast', 'x-slow', 'medium', 'medium', 'medium', 'medium', 'x-slow', 'slow', 'x-fast', 'slow', 'fast', 'medium', 'x-fast', 'slow', 'x-slow', 'fast', 'x-slow', 'x-slow', 'slow', 'x-fast', 'x-fast', 'x-slow', 'slow', 'medium', 'slow', 'slow', 'x-fast', 'x-fast', 'fast', 'x-fast', 'x-fast', 'x-slow']"
0,4,"['medium', 'medium', 'x-fast', 'x-fast', 'x-slow', 'x-fast', 'slow', 'x-slow', 'x-fast', 'x-slow', 'medium', 'slow', 'medium', 'slow', 'slow', 'fast', 'x-fast', 'x-slow', 'slow', 'x-fast', 'slow', 'slow', 'medium', 'medium', 'x-slow', 'medium', 'slow', 'fast', 'x-fast', 'slow', 'medium', 'x-slow', 'x-slow', 'slow', 'slow', 'fast', 'x-fast', 'medium', 'x-fast', 'slow', 'x-fast', 'x-fast', 'x-fast', 'x-slow', 'fast', 'x-slow', 'medium', 'medium', 'slow', 'medium', 'slow', 'x-slow', 'fast', 'x-fast', 'slow', 'fast', 'slow', 'fast', 'fast', 'fast', 'x-fast', 'x-fast', 'medium', 'x-slow', 'slow', 'medium', 'x-slow', 'slow', 'slow', 'x-slow', 'x-fast', 'fast', 'x-slow', 'fast', 'x-slow', 'fast', 'medium', 'x-fast', 'x-fast', 'slow', 'x-slow', 'medium', 'slow', 'x-fast', 'x-fast', 'medium', 'x-fast', 'x-slow', 'x-slow', 'fast', 'x-fast', 'x-fast', 'fast', 'medium', 'x-slow', 'x-slow', 'fast', 'x-fast', 'x-slow', 'fast', 'x-fast', 'fast', 'x-fast', 'fast', 'fast', 'slow', 'fast', 'medium', 'x-slow', 'medium', 'medium', 'x-slow', 'x-fast', 'fast', 'slow', 'x-fast', 'slow', 'medium', 'x-fast', 'x-slow', 'medium', 'x-slow']"
0,5,"['medium', 'fast', 'slow', 'x-fast', 'x-slow', 'medium', 'x-fast', 'slow', 'fast', 'slow', 'medium', 'slow', 'x-slow', 'x-slow', 'x-fast', 'slow', 'medium', 'slow', 'x-slow', 'x-fast', 'x-slow', 'fast', 'fast', 'x-slow', 'medium', 'x-fast', 'slow', 'medium', 'x-fast', 'slow', 'x-slow', 'x-fast', 'slow', 'x-slow', 'fast', 'medium', 'medium', 'fast', 'slow', 'x-fast', 'x-fast', 'medium', 'fast', 'fast', 'x-fast', 'slow', 'fast', 'fast', 'fast', 'slow', 'x-slow', 'slow', 'medium', 'slow', 'medium', 'fast', 'medium', 'x-fast', 'slow', 'fast', 'x-fast', 'x-slow', 'fast', 'x-slow', 'fast', 'slow', 'fast', 'x-slow', 'x-fast', 'slow', 'fast', 'x-slow', 'medium', 'x-fast', 'x-fast', 'fast', 'medium', 'x-slow', 'x-slow', 'x-fast', 'x-slow', 'medium', 'x-fast', 'x-slow', 'medium', 'x-fast', 'x-fast', 'slow', 'x-slow', 'medium', 'x-fast', 'slow', 'fast', 'x-fast', 'slow', 'fast', 'fast', 'fast', 'x-slow']"
0,6,"['x-fast', 'slow', 'x-slow', 'medium', 'x-fast', 'x-fast', 'fast', 'x-fast', 'slow', 'x-fast', 'x-slow', 'medium', 'x-slow', 'medium', 'fast', 'x-slow', 'slow', 'medium', 'slow', 'x-slow', 'x-fast', 'x-fast', 'x-slow', 'fast', 'x-fast', 'x-fast', 'fast', 'x-slow', 'x-fast', 'slow', 'x-slow', 'fast', 'slow', 'slow', 'x-slow', 'fast', 'x-fast', 'fast', 'medium', 'medium', 'slow', 'x-fast', 'medium', 'medium', 'slow', 'medium', 'x-fast', 'medium', 'x-slow', 'fast', 'medium', 'x-fast', 'slow', 'slow', 'fast', 'x-slow', 'slow', 'medium', 'x-slow', 'x-slow', 'x-slow', 'x-slow', 'slow', 'fast', 'x-fast', 'fast', 'medium', 'fast', 'slow', 'medium', 'medium', 'x-fast', 'x-slow', 'fast', 'x-slow', 'medium', 'x-fast', 'x-slow', 'medium', 'medium', 'slow', 'medium', 'x-fast', 'fast', 'x-fast', 'x-fast', 'x-slow', 'medium', 'medium', 'x-fast', 'slow', 'fast', 'fast', 'x-slow', 'x-slow', 'fast', 'fast', 'medium', 'slow', 'fast', 'fast', 'x-fast', 'slow', 'x-slow', 'fast', 'x-fast', 'slow', 'x-slow', 'x-fast', 'fast', 'x-fast', 'slow', 'slow', 'x-fast', 'x-slow', 'fast', 'x-fast', 'medium', 'x-fast', 'fast', 'slow', 'x-fast', 'x-slow', 'x-slow', 'x-slow', 'x-fast', 'fast', 'slow', 'x-fast', 'x-slow', 'x-slow', 'x-fast', 'x-fast', 'slow', 'x-fast', 'slow', 'slow', 'fast', 'fast', 'x-fast', 'fast', 'x-fast', 'medium', 'slow', 'x-slow', 'medium', 'x-fast', 'medium', 'slow', 'x-fast', 'slow', 'medium', 'fast', 'x-fast', 'slow', 'medium', 'medium', 'x-slow', 'medium', 'slow', 'x-fast', 'medium', 'slow', 'x-slow', 'x-slow', 'fast', 'medium', 'slow', 'x-fast', 'x-slow', 'slow', 'medium', 'x-slow']"
0,7,"['medium', 'slow', 'medium', 'x-slow', 'fast', 'slow', 'medium', 'medium', 'slow', 'medium', 'x-fast', 'fast', 'x-fast', 'x-slow', 'slow', 'x-slow', 'medium', 'fast', 'medium', 'x-slow', 'slow', 'slow', 'x-slow', 'x-slow', 'medium', 'slow', 'medium', 'medium', 'fast', 'fast', 'x-slow', 'x-fast', 'medium', 'x-fast', 'x-fast', 'x-fast', 'x-fast', 'x-slow', 'x-fast', 'slow', 'slow', 'x-slow', 'medium', 'x-fast', 'fast', 'x-fast', 'x-slow', 'x-fast', 'fast', 'x-fast', 'medium', 'fast', 'x-slow', 'fast', 'x-slow', 'x-slow', 'fast', 'x-fast', 'slow', 'medium', 'x-fast', 'x-slow', 'slow', 'x-slow', 'fast', 'fast', 'medium', 'fast', 'slow', 'fast', 'x-slow', 'x-fast', 'slow', 'medium', 'x-slow', 'fast', 'x-fast', 'fast', 'fast', 'slow', 'x-fast', 'x-slow', 'x-fast', 'fast', 'slow', 'slow', 'medium', 'x-fast', 'fast', 'medium', 'x-slow', 'slow', 'x-slow', 'fast', 'medium', 'fast', 'fast', 'x-slow', 'medium', 'medium', 'medium', 'x-fast', 'x-slow', 'x-fast', 'medium', 'x-slow', 'medium', 'fast', 'slow', 'fast', 'medium', 'x-slow', 'fast', 'x-fast', 'slow', 'x-slow', 'x-slow', 'fast', 'x-fast', 'slow', 'x-slow', 'x-fast', 'x-fast', 'slow', 'x-slow', 'medium', 'x-fast', 'medium', 'x-fast', 'slow', 'x-fast', 'x-slow', 'x-slow', 'medium', 'fast', 'x-slow', 'slow', 'medium', 'medium', 'medium', 'x-fast', 'x-slow', 'medium', 'x-fast', 'x-slow', 'slow', 'slow', 'fast', 'x-fast', 'medium', 'x-fast', 'fast', 'x-slow', 'slow', 'slow', 'fast', 'fast', 'fast', 'slow', 'x-fast', 'slow', 'x-slow', 'slow', 'x-slow', 'medium', 'x-fast', 'fast', 'x-fast', 'x-slow', 'x-fast', 'x-slow', 'fast', 'fast', 'fast', 'slow', 'fast', 'x-fast', 'fast', 'slow', 'x-fast', 'fast', 'x-fast', 'x-fast', 'slow', 'x-slow', 'slow', 'x-fast', 'slow', 'x-fast', 'x-fast', 'slow', 'fast', 'x-fast', 'slow', 'slow', 'slow', 'fast', 'x-slow', 'x-fast', 'medium', 'x-fast', 'x-slow', 'x-slow', 'fast', 'x-slow', 'x-fast', 'fast', 'slow', 'x-fast', 'x-slow', 'x-fast', 'fast', 'slow', 'medium', 'slow', 'medium', 'x-slow', 'fast', 'slow', 'x-fast', 'x-fast', 'fast', 'x-fast', 'x-fast', 'x-fast', 'x-fast', 'x-slow', 'x-fast', 'slow', 'medium', 'x-slow', 'medium', 'x-fast', 'slow', 'slow', 'medium', 'x-fast', 'medium', 'x-fast', 'x-slow', 'x-slow', 'fast', 'medium', 'fast', 'fast', 'slow', 'medium', 'x-slow', 'fast', 'slow', 'x-fast', 'x-slow', 'x-fast', 'slow']"
0,8,"['medium', 'medium', 'x-fast', 'x-fast', 'medium', 'x-fast', 'slow', 'x-fast', 'medium', 'x-fast', 'medium', 'x-slow', 'medium', 'x-slow', 'medium', 'fast', 'x-fast', 'medium', 'x-fast', 'medium', 'x-fast', 'x-fast', 'slow', 'x-fast', 'medium', 'x-fast', 'slow', 'slow', 'slow', 'fast', 'medium', 'slow', 'x-slow', 'x-fast', 'medium', 'fast', 'fast', 'x-fast', 'x-slow', 'slow', 'slow', 'fast', 'x-slow', 'fast', 'slow', 'x-fast', 'slow', 'x-fast', 'x-slow', 'fast', 'slow', 'fast', 'x-slow', 'medium', 'fast', 'slow', 'slow', 'medium', 'fast', 'x-slow', 'fast', 'slow', 'x-fast', 'x-slow', 'x-slow', 'x-slow', 'slow', 'x-fast', 'fast', 'x-slow', 'fast', 'medium', 'medium', 'x-fast', 'x-slow', 'x-fast', 'slow', 'slow', 'medium', 'x-slow', 'slow', 'medium', 'fast', 'fast', 'x-slow', 'x-fast', 'slow', 'slow', 'medium', 'fast', 'fast', 'x-fast', 'x-slow', 'x-fast', 'slow', 'slow', 'x-slow', 'slow', 'fast', 'x-fast', 'fast', 'x-slow', 'medium', 'fast', 'medium', 'x-fast', 'slow', 'slow', 'medium', 'x-slow']"
0,9,"['medium', 'slow', 'medium', 'x-fast', 'x-slow', 'x-fast', 'medium', 'x-fast', 'x-fast', 'slow', 'fast', 'slow', 'medium', 'fast', 'x-slow', 'fast', 'x-fast', 'fast', 'medium', 'fast', 'slow', 'x-fast', 'slow', 'x-fast', 'x-slow', 'fast', 'medium', 'x-fast', 'x-slow', 'x-slow', 'medium', 'slow', 'x-fast', 'slow', 'fast', 'x-slow', 'fast', 'medium', 'fast', 'x-slow', 'slow', 'x-slow', 'medium', 'medium', 'medium', 'x-fast', 'x-fast', 'slow', 'x-fast', 'x-slow', 'x-fast', 'slow', 'x-fast', 'x-fast', 'x-slow', 'fast', 'slow', 'medium', 'x-fast', 'x-slow', 'slow', 'x-slow', 'medium', 'x-fast', 'x-slow', 'medium', 'slow', 'medium', 'slow', 'fast', 'medium', 'slow', 'fast', 'x-fast', 'x-slow', 'x-fast', 'medium', 'x-slow', 'x-fast', 'x-fast', 'x-slow', 'medium', 'slow', 'x-fast', 'x-fast', 'x-slow', 'medium', 'x-fast', 'x-slow', 'x-slow', 'x-slow', 'x-slow', 'slow', 'medium', 'fast', 'x-fast', 'fast', 'medium', 'slow', 'slow', 'fast', 'x-slow', 'medium', 'fast', 'slow', 'x-fast', 'medium', 'x-fast', 'slow', 'fast', 'slow', 'medium', 'fast', 'medium', 'x-fast', 'fast', 'x-fast', 'x-fast', 'slow', 'medium', 'x-fast', 'fast', 'x-fast', 'x-fast', 'x-slow', 'medium', 'fast', 'x-fast', 'x-slow', 'x-fast', 'slow', 'x-fast', 'x-fast', 'x-slow', 'medium', 'medium', 'slow', 'x-fast', 'slow', 'medium', 'x-fast', 'slow', 'medium', 'fast', 'x-slow', 'slow', 'medium', 'slow', 'x-fast', 'slow', 'slow', 'medium', 'fast', 'x-slow', 'medium', 'x-fast', 'x-slow', 'x-slow', 'x-slow', 'fast', 'x-fast', 'x-slow', 'slow', 'x-fast', 'x-slow', 'x-slow', 'medium', 'medium', 'slow', 'medium', 'x-slow', 'fast', 'fast', 'x-fast', 'x-slow', 'slow', 'x-fast', 'slow']"
