filename,base_word_lengths,pause_lengths,neutral_relative_word_lengths,script,emotion,pos,dep,lemma,tag,stop,start,end
1001_DFA_ANG_XX,"[0.52, 0.31, 0.1, 0.48]","[0.020000000000000018, 0.0, 0.010000000000000009]","[0.857142857142857, 0.0, 0.25000000000000006, 0.37142857142857144]",Don't forget a jacket,A,"['AUX', 'PART', 'VERB', 'DET', 'NOUN']","['aux', 'neg', 'ROOT', 'det', 'dobj']","['do', 'not', 'forget', 'a', 'jacket']","['VB', 'RB', 'VB', 'DT', 'NN']","[True, True, False, True, False]","[True, False, False, False, False]","[False, False, False, False, True]"
1001_IEO_ANG_HI,"[0.21, 0.38, 0.69]","[0.009999999999999953, 0.0]","[0.23529411764705868, 0.2666666666666667, 0.49999999999999983]",It's eleven o'clock,A,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_ANG_LO,"[0.14, 0.24, 0.51]","[0.0, 0.0]","[-0.1764705882352941, -0.2, 0.10869565217391301]",It's eleven o'clock,A,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_DIS_MD,"[0.16, 0.33, 0.55]","[0.0, 0.0]","[-0.058823529411764754, 0.10000000000000009, 0.19565217391304351]",It's eleven o'clock,D,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_HAP_LO,"[0.19, 0.25, 0.42]","[0.0, 0.0]","[0.11764705882352934, -0.16666666666666663, -0.0869565217391305]",It's eleven o'clock,H,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_NEU_XX,"[0.17, 0.3, 0.46]","[0.0, 0.0]",,It's eleven o'clock,N,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_SAD_HI,"[0.16, 0.31, 0.49]","[0.0, -1.1102230246251565e-16]","[-0.058823529411764754, 0.03333333333333337, 0.06521739130434775]",It's eleven o'clock,S,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_SAD_LO,"[0.18, 0.26, 0.45]","[0.0, 0.0]","[0.058823529411764594, -0.13333333333333328, -0.021739130434782625]",It's eleven o'clock,S,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IEO_SAD_MD,"[0.1, 0.27, 0.47]","[-5.551115123125783e-17, 1.1102230246251565e-16]","[-0.411764705882353, -0.09999999999999991, 0.021739130434782507]",It's eleven o'clock,S,"['PRON', 'AUX', 'NUM', 'NOUN']","['nsubj', 'ROOT', 'nummod', 'attr']","['it', 'be', 'eleven', ""o'clock""]","['PRP', 'VBZ', 'CD', 'NN']","[True, True, True, False]","[True, False, False, False]","[False, False, False, True]"
1001_IOM_ANG_XX,"[0.18, 0.1, 0.12, 0.14, 0.1, 0.08, 0.29]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0]","[-0.18181818181818185, -0.09090909090909087, -0.2, -0.33333333333333326, -0.09090909090909087, -0.11111111111111106, -0.09375000000000008]",I'm on my way to the meeting,A,"['PRON', 'AUX', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN']","['nsubj', 'ROOT', 'prep', 'poss', 'pobj', 'prep', 'det', 'pobj']","['I', 'be', 'on', 'my', 'way', 'to', 'the', 'meeting']","['PRP', 'VBP', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'NN']","[True, True, True, True, False, True, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
1001_IOM_SAD_XX,"[0.19, 0.1, 0.14, 0.19, 0.1, 0.09, 0.42]","[-5.551115123125783e-17, 0.010000000000000009, 0.0, -1.1102230246251565e-16, 0.0, 0.0]","[-0.13636363636363635, -0.09090909090909087, -0.06666666666666654, -0.09523809523809519, -0.09090909090909087, 0.0, 0.31249999999999994]",I'm on my way to the meeting,S,"['PRON', 'AUX', 'ADP', 'PRON', 'NOUN', 'ADP', 'DET', 'NOUN']","['nsubj', 'ROOT', 'prep', 'poss', 'pobj', 'prep', 'det', 'pobj']","['I', 'be', 'on', 'my', 'way', 'to', 'the', 'meeting']","['PRP', 'VBP', 'IN', 'PRP$', 'NN', 'IN', 'DT', 'NN']","[True, True, True, True, False, True, True, False]","[True, False, False, False, False, False, False, False]","[False, False, False, False, False, False, False, True]"
