,filename,base_word_lengths,script,emotion,diff,rmse,pcc,relative_diff
0,sad_WSI,"[0.32, 0.47, 0.13, 0.07, 0.49, 0.13, 0.57]",We'll stop in a couple of minutes,S,"[-0.12638888888888888, -0.11861111111111106, -0.011111111111111113, -0.012777777777777784, -0.1938888888888889, -0.028888888888888895, -0.1694444444444444]",0.11800022045834782,0.9819882494036366,"[-0.2850347222222222, -0.2776359338061467, -0.7845299145299145, -0.7474603174603174, -0.11430839002267579, -0.6477777777777778, -0.13272904483430814]"
1,neutral_MTI,"[0.33, 0.49, 0.13, 0.13, 0.13, 0.44]",Maybe tomorrow it will be cold,N,"[0.04049999999999998, 0.029874999999999985, 0.027999999999999997, 0.03875000000000001, 0.007500000000000007, -0.006624999999999992]",0.02863118564898538,0.9937873229800716,"[-0.7927272727272725, -0.5709693877551021, -1.0853846153846152, -1.168076923076923, -0.9276923076923077, -0.5449431818181818]"
2,cheerful_DFA,"[0.31, 0.41, 0.07, 0.4]",Don't forget a jacket,H,"[-0.03113636363636363, -0.13318181818181818, -0.014090909090909098, 0.07136363636363635]",0.07745674946181308,0.871390212822342,"[-0.5895601173020528, -0.26516629711751666, -0.7287012987012986, -0.7784090909090909]"
3,terrified_TAI,"[0.2, 0.43, 0.17, 0.4, 0.47]",The airplane is almost full,F,"[-0.025000000000000022, -0.0318181818181818, -0.04318181818181818, -0.035909090909090946, -0.08999999999999997]",0.05077702024660335,0.9844937966665949,"[-0.6749999999999998, -0.4960042283298098, -0.5759893048128342, -0.5102272727272726, -0.3385106382978724]"
4,sad_IOM,"[0.23, 0.22, 0.17, 0.31, 0.14, 0.14, 0.54]",I'm on my way to the meeting,S,"[-0.039117647058823535, -0.08705882352941177, -0.03352941176470589, -0.12176470588235294, -0.0285294117647059, -0.04705882352941178, -0.14617647058823535]",0.08405467173121207,0.9767966419563152,"[-0.599923273657289, -0.38427807486631016, -0.6327681660899653, -0.2972106261859582, -0.6562184873949578, -0.5238655462184874, -0.18930283224400857]"
5,unfriendly_DFA,"[0.28, 0.4, 0.07, 0.62]",Don't forget a jacket,D,"[0.029249999999999998, -0.06, 0.009999999999999995, -0.03674999999999995]",0.03842565874516661,0.9881760469621274,"[-0.8244642857142856, -0.44999999999999996, -1.0728571428571427, -0.32072580645161297]"
6,angry_DFA,"[0.31, 0.43, 0.07, 0.49]",Don't forget a jacket,A,"[0.1020967741935484, -0.03048387096774191, 0.026290322580645162, 0.09967741935483876]",0.07412790749869633,0.9511799319631354,"[-1.0193444328824142, -0.4991072768192049, -1.3055760368663594, -0.7134233048057934]"
7,terrified_MTI,"[0.33, 0.43, 0.12, 0.14, 0.12, 0.37]",Maybe tomorrow it will be cold,F,"[-0.03172413793103451, 0.02344827586206899, -0.0193103448275862, -0.004137931034482761, 0.006896551724137945, 0.09034482758620688]",0.041142040048759876,0.9730036614651683,"[-0.5738662486938348, -0.624530874097835, -0.719080459770115, -0.8304433497536946, -0.9374712643678161, -0.874175209692451]"
8,unfriendly_TIE,"[0.28, 0.14, 0.67, 0.16, 0.6]",That is exactly what happened,D,"[-0.002666666666666706, 0.015999999999999986, 0.07999999999999996, -0.013333333333333336, -0.15466666666666662]",0.07843808598718692,0.9409002018852963,"[-0.7104761904761903, -0.9742857142857141, -0.4494029850746267, -0.7566666666666666, -0.14222222222222236]"
9,angry_ITS,"[0.07, 0.34, 0.18, 0.34, 0.2, 0.48]",I think I've seen this before,A,"[0.07103448275862068, -0.055862068965517264, -0.0386206896551724, -0.026551724137931054, 0.011034482758620678, 0.12241379310344824]",0.06515355805806648,0.9169297805603497,"[-1.9447783251231525, -0.4956997971602433, -0.60544061302682, -0.5819066937119675, -0.8551724137931034, -0.7750287356321839]"
10,neutral_IOM,"[0.14, 0.13, 0.15, 0.18, 0.11, 0.1, 0.33]",I'm on my way to the meeting,N,"[0.06426470588235292, 0.033970588235294114, -0.0013235294117646956, 0.02411764705882355, 0.012499999999999997, 0.003823529411764698, 0.06205882352941178]",0.03758710430828317,0.9749340556796461,"[-1.3190336134453777, -1.1313122171945702, -0.8411764705882353, -0.9539869281045754, -1.0036363636363634, -0.938235294117647, -0.8580570409982173]"
11,neutral_DFA,"[0.2, 0.31, 0.06, 0.39]",Don't forget a jacket,N,"[0.15289855072463765, 0.04275362318840581, 0.014782608695652177, 0.08797101449275363]",0.09105391812020477,0.9408191945872368,"[-1.5644927536231883, -0.8279149135109864, -1.1863768115942028, -0.8355667038275735]"
12,neutral_TIE,"[0.21, 0.13, 0.56, 0.17, 0.5]",That is exactly what happened,N,"[0.07444444444444445, -0.005238095238095236, -0.01746031746031751, -0.035238095238095235, -0.08809523809523812]",0.054546805529281296,0.9577091132012624,"[-1.1444973544973547, -0.8297069597069597, -0.40882086167800435, -0.6227170868347339, -0.32380952380952377]"
13,cheerful_IOM,"[0.21, 0.19, 0.17, 0.25, 0.11, 0.11, 0.34]",I'm on my way to the meeting,H,"[-0.021428571428571408, -0.05387755102040817, -0.04122448979591839, -0.07959183673469389, -0.009591836734693882, -0.018979591836734686, 0.033469387755102]",0.0430427053154314,0.9323609605730784,"[-0.6879591836734695, -0.5264339419978517, -0.58750300120048, -0.43163265306122445, -0.8028014842300556, -0.7174582560296847, -0.7584393757502998]"
14,sad_DFA,"[0.31, 0.48, 0.08, 0.44]",Don't forget a jacket,S,"[-0.03803278688524592, -0.16836065573770492, -0.01918032786885246, 0.03491803278688527]",0.08857053300837588,0.8806194099336564,"[-0.5673135906927551, -0.1692486338797814, -0.6802459016393443, -0.6393591654247393]"
15,unfriendly_MTI,"[0.38, 0.54, 0.11, 0.14, 0.14, 0.43]",Maybe tomorrow it will be cold,D,"[-0.005555555555555591, 0.014444444444444371, -0.006111111111111109, -0.0011111111111111183, 0.02055555555555555, 0.06944444444444442]",0.030340149824251424,0.9911910510882511,"[-0.6053801169590642, -0.4867489711934154, -0.8344444444444444, -0.852063492063492, -1.0068253968253966, -0.7314987080103359]"
16,sad_ITS,"[0.12, 0.34, 0.17, 0.37, 0.28, 0.59]",I think I've seen this before,S,"[-0.022413793103448265, -0.08448275862068966, -0.047931034482758636, -0.10034482758620689, -0.09172413793103451, -0.07896551724137924]",0.07599896217244119,0.988542914785712,"[-0.6932183908045978, -0.4115212981744422, -0.5480527383367139, -0.35879776328052193, -0.39241379310344815, -0.27616014026884883]"
17,terrified_DFA,"[0.23, 0.33, 0.05, 0.42]",Don't forget a jacket,F,"[0.03975609756097562, -0.03780487804878052, 0.011707317073170728, 0.045121951219512235]",0.03599586036084141,0.9733806788778288,"[-0.9428525980911984, -0.555439763488544, -1.1841463414634146, -0.6874332171893149]"
18,cheerful_MTI,"[0.37, 0.53, 0.13, 0.14, 0.12, 0.49]",Maybe tomorrow it will be cold,H,"[-0.046857142857142875, -0.051428571428571435, -0.022285714285714284, 0.008285714285714285, 0.01200000000000001, -0.02400000000000002]",0.031952558370098604,0.9951982597273398,"[-0.5033590733590733, -0.3729649595687331, -0.6985714285714286, -0.9191836734693878, -0.9800000000000001, -0.4610204081632653]"
19,neutral_IWW,"[0.05, 0.29, 0.19, 0.2, 0.13, 0.39]",I wonder what this is about,N,"[0.0690625, 0.002187500000000009, -0.019687499999999997, -0.021875000000000006, 0.010624999999999996, -0.025000000000000022]",0.03260474906295605,0.9679343882852303,"[-2.3312500000000003, -0.7175431034482758, -0.7063815789473684, -0.690625, -0.9517307692307692, -0.5458974358974358]"
20,unfriendly_TAI,"[0.11, 0.57, 0.2, 0.45, 0.49]",The airplane is almost full,D,"[0.164375, -0.12312499999999993, -0.0625, 0.026874999999999982, -0.028749999999999998]",0.09760531171509057,0.8400511455533776,"[-2.384318181818182, -0.21399122807017557, -0.4875, -0.6097222222222223, -0.4513265306122449]"
21,cheerful_IWL,"[0.12, 0.19, 0.21, 0.06, 0.22, 0.4, 0.47]",I would like a new alarm clock,H,"[0.019024390243902456, -0.016829268292682914, -0.011707317073170714, -0.009512195121951214, -0.004634146341463419, -0.04585365853658541, -0.042439024390243885]",0.02618014222707412,0.9955088062167188,"[-1.0385365853658537, -0.7214249037227216, -0.7342508710801395, -0.7814634146341464, -0.7589356984478935, -0.48536585365853646, -0.43970420342501304]"
22,unfriendly_IWL,"[0.08, 0.18, 0.18, 0.08, 0.24, 0.48, 0.38]",I would like a new alarm clock,D,"[0.05172413793103449, 0.0013793103448276056, 0.05965517241379312, -0.015862068965517243, 0.03999999999999998, -0.055517241379310356, 0.04999999999999999]",0.04419081653092779,0.9580126626492023,"[-1.566551724137931, -0.8276628352490423, -1.151417624521073, -0.7217241379310345, -0.9266666666666665, -0.4043390804597701, -0.751578947368421]"
23,terrified_IEO,"[0.24, 0.39, 0.56]",It's eleven o'clock,F,"[-0.09238461538461537, -0.07153846153846155, -0.037307692307692375]",0.07081556454240528,0.9998833466244302,"[-0.3750641025641026, -0.42656804733727804, -0.37337912087912073]"
24,unfriendly_ITS,"[0.05, 0.28, 0.14, 0.29, 0.21, 0.4]",I think I've seen this before,D,"[0.06, 0.002962962962962945, -0.007037037037037036, 0.03296296296296297, 0.0018518518518518545, 0.21851851851851856]",0.09354021261636403,0.924222742183981,"[-2.15, -0.7305820105820104, -0.8097354497354498, -0.8236653895274586, -0.7988183421516755, -1.1462962962962964]"
25,unfriendly_TSI,"[0.14, 0.48, 0.17, 0.45]",The surface is slick,D,"[0.05476190476190476, 0.0976190476190476, 0.05238095238095236, 0.16333333333333327]",0.10240835735099355,0.9909746415860395,"[-1.2511564625850338, -0.7233730158730158, -1.1381232492997198, -0.912962962962963]"
26,terrified_ITS,"[0.11, 0.24, 0.13, 0.26, 0.16, 0.44]",I think I've seen this before,F,"[-0.0219047619047619, -0.026428571428571412, -0.030714285714285722, -0.031190476190476185, 0.0035714285714285587, 0.05023809523809525]",0.030635280448581916,0.9893304964691937,"[-0.690865800865801, -0.6498809523809524, -0.6337362637362637, -0.62003663003663, -0.8623214285714284, -0.6741774891774892]"
27,terrified_IWL,"[0.07, 0.18, 0.15, 0.04, 0.2, 0.34, 0.34]",I would like a new alarm clock,F,"[0.03742857142857142, -0.007142857142857145, 0.04657142857142857, 0.0048571428571428585, -0.016000000000000014, -0.0011428571428571677, 0.09542857142857142]",0.04310837924946883,0.9585024579250854,"[-1.46469387755102, -0.7803174603174603, -1.1604761904761907, -1.0814285714285714, -0.72, -0.6566386554621848, -0.9406722689075628]"
28,neutral_TAI,"[0.13, 0.52, 0.16, 0.39, 0.44]",The airplane is almost full,N,"[0.108625, -0.02887500000000004, -0.006624999999999992, 0.07674999999999998, -0.11212499999999997]",0.07891720344766405,0.8632188391248338,"[-1.705576923076923, -0.42447115384615375, -0.79859375, -0.8067948717948717, -0.3051704545454546]"
29,sad_ITH,"[0.13, 0.38, 0.11, 0.28, 0.06, 0.62, 0.79]",I think I have a doctor's appointment,S,"[-0.04294117647058823, -0.11264705882352943, -0.05058823529411765, -0.09441176470588239, 0.0020588235294117657, -0.1526470588235294, -0.3032352941176471]",0.142057866621688,0.9872598469762704,"[-0.5396832579185521, -0.32356037151702777, -0.4301069518716577, -0.38281512605042, -0.9743137254901961, -0.13379506641366223, 0.17384214445271784]"
30,sad_TSI,"[0.12, 0.67, 0.2, 0.68]",The surface is slick,S,"[0.0325, -0.1697727272727273, -0.041590909090909095, -0.17613636363636365]",0.12513278071679443,0.9952465711636532,"[-1.1508333333333334, -0.07660786974219802, -0.5920454545454545, -0.06097593582887695]"
31,unfriendly_WSI,"[0.21, 0.35, 0.11, 0.07, 0.34, 0.12, 0.42]",We'll stop in a couple of minutes,D,"[0.0017241379310344862, 0.06586206896551727, 0.0065517241379310365, -0.0058620689655172475, 0.0006896551724137612, -0.01034482758620689, 0.17275862068965514]",0.07007251940097195,0.9739278073719914,"[-0.7982101806239739, -0.8381773399014779, -0.9495611285266458, -0.8462561576354679, -0.6620283975659227, -0.7937931034482759, -0.9913300492610837]"
32,neutral_WSI,"[0.19, 0.28, 0.12, 0.07, 0.31, 0.11, 0.37]",We'll stop in a couple of minutes,N,"[0.040192307692307694, 0.08538461538461534, 0.002692307692307702, -0.010576923076923081, -0.000576923076923086, 0.010384615384615381, 0.08384615384615385]",0.048052686198459,0.9800245810789303,"[-1.0215384615384615, -1.0249450549450547, -0.9024358974358976, -0.7789010989010989, -0.6881389578163772, -0.9844055944055944, -0.8566112266112266]"
