filename,base_word_lengths,pause_lengths,neutral_relative_word_lengths
sad_WSI,"[0.32, 0.47, 0.13, 0.07, 0.49, 0.13, 0.57]","[0.009999999999999953, 1.1102230246251565e-16, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
neutral_MTI,"[0.33, 0.49, 0.13, 0.13, 0.13, 0.44]","[0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA
cheerful_DFA,"[0.31, 0.41, 0.07, 0.4]","[0.0, 0.0, -1.1102230246251565e-16]",NA
terrified_TAI,"[0.2, 0.43, 0.17, 0.4, 0.47]","[0.0, 0.010000000000000009, 0.009999999999999898, 0.0]",NA
sad_IOM,"[0.23, 0.22, 0.17, 0.31, 0.14, 0.14, 0.54]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA
unfriendly_DFA,"[0.28, 0.4, 0.07, 0.62]","[0.0, 0.0, 0.0]",NA
angry_DFA,"[0.31, 0.43, 0.07, 0.49]","[0.03999999999999998, 0.0, 1.1102230246251565e-16]",NA
terrified_MTI,"[0.33, 0.43, 0.12, 0.14, 0.12, 0.37]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
unfriendly_TIE,"[0.28, 0.14, 0.67, 0.16, 0.6]","[-5.551115123125783e-17, 0.0, -2.220446049250313e-16, 0.010000000000000231]",NA
angry_ITS,"[0.07, 0.34, 0.18, 0.34, 0.2, 0.48]","[-2.7755575615628914e-17, 0.0, 0.0, 0.0, 0.0]",NA
neutral_IOM,"[0.14, 0.13, 0.15, 0.18, 0.11, 0.1, 0.33]","[0.0, 0.0, 0.0, 0.0, 0.0, 1.1102230246251565e-16]",NA
neutral_DFA,"[0.2, 0.31, 0.06, 0.39]","[0.019999999999999962, 0.0, 1.1102230246251565e-16]",NA
neutral_TIE,"[0.21, 0.13, 0.56, 0.17, 0.5]","[0.0, 0.0, 0.0, 0.010000000000000009]",NA
cheerful_IOM,"[0.21, 0.19, 0.17, 0.25, 0.11, 0.11, 0.34]","[5.551115123125783e-17, 0.0, -1.1102230246251565e-16, 0.0, 0.0, -2.220446049250313e-16]",NA
sad_DFA,"[0.31, 0.48, 0.08, 0.44]","[0.010000000000000009, 0.0, 0.0]",NA
unfriendly_MTI,"[0.38, 0.54, 0.11, 0.14, 0.14, 0.43]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 2.220446049250313e-16]",NA
sad_ITS,"[0.12, 0.34, 0.17, 0.37, 0.28, 0.59]","[0.0, -1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 0.0]",NA
terrified_DFA,"[0.23, 0.33, 0.05, 0.42]","[-5.551115123125783e-17, 0.0, 0.0]",NA
cheerful_MTI,"[0.37, 0.53, 0.13, 0.14, 0.12, 0.49]","[0.0, 0.020000000000000018, 2.220446049250313e-16, 0.0, 0.0]",NA
neutral_IWW,"[0.05, 0.29, 0.19, 0.2, 0.13, 0.39]","[0.0, 0.0, 1.1102230246251565e-16, 0.009999999999999898, 0.0]",NA
unfriendly_TAI,"[0.11, 0.57, 0.2, 0.45, 0.49]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.0]",NA
cheerful_IWL,"[0.12, 0.19, 0.21, 0.06, 0.22, 0.4, 0.47]","[0.0, 0.0, 0.0, 0.0, 1.1102230246251565e-16, 0.0]",NA
unfriendly_IWL,"[0.08, 0.18, 0.18, 0.08, 0.24, 0.48, 0.38]","[0.0, 0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA
terrified_IEO,"[0.24, 0.39, 0.56]","[0.0, 0.0]",NA
unfriendly_ITS,"[0.05, 0.28, 0.14, 0.29, 0.21, 0.4]","[0.0, -5.551115123125783e-17, 0.0, 1.1102230246251565e-16, 0.0]",NA
unfriendly_TSI,"[0.14, 0.48, 0.17, 0.45]","[-2.7755575615628914e-17, 0.010000000000000009, 0.0]",NA
terrified_ITS,"[0.11, 0.24, 0.13, 0.26, 0.16, 0.44]","[0.020000000000000018, 0.0, 0.0, -1.1102230246251565e-16, 0.0]",NA
terrified_IWL,"[0.07, 0.18, 0.15, 0.04, 0.2, 0.34, 0.34]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA
neutral_TAI,"[0.13, 0.52, 0.16, 0.39, 0.44]","[0.0, 0.010000000000000009, 0.010000000000000009, 0.0]",NA
sad_ITH,"[0.13, 0.38, 0.11, 0.28, 0.06, 0.62, 0.79]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA
sad_TSI,"[0.12, 0.67, 0.2, 0.68]","[0.0, 0.0, -2.220446049250313e-16]",NA
unfriendly_WSI,"[0.21, 0.35, 0.11, 0.07, 0.34, 0.12, 0.42]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16, 2.220446049250313e-16]",NA
