filename,base_word_lengths,pause_lengths,neutral_relative_word_lengths,pause_lenghts
1038_TAI_NEU_XX,"[0.2, 0.42, 0.13, 0.39, 0.26]","[1.1102230246251565e-16, 0.0, 0.0, 0.029999999999999805]",NA,
1001_TIE_NEU_XX,"[0.36, 0.12, 0.49, 0.11, 0.3]","[0.0, 0.0, 0.0, 0.010000000000000009]",NA,
1090_ITS_NEU_XX,"[0.13, 0.3, 0.13, 0.31, 0.22, 0.6]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1034_ITS_NEU_XX,"[0.1, 0.25, 0.15, 0.27, 0.21, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.040000000000000036]",NA,
1074_IOM_NEU_XX,"[0.22, 0.27, 0.18, 0.22, 0.15, 0.1, 0.46]","[0.010000000000000009, 0.0, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16]",NA,
1077_TSI_NEU_XX,"[0.17, 0.5, 0.19, 0.5]","[0.0, 0.020000000000000018, 0.0]",NA,
1065_WSI_NEU_XX,"[0.18, 0.34, 0.18, 0.07, 0.32, 0.1, 0.43]","[0.0, 0.029999999999999916, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1009_ITH_NEU_XX,"[0.14, 0.32, 0.08, 0.2, 0.06, 0.46, 0.4]","[0.0, -2.220446049250313e-16, 0.0, 0.0, 0.0, 0.0]",NA,
1010_IEO_NEU_XX,"[0.24, 0.47, 0.57]","[0.0, 0.0]",NA,
1014_ITH_NEU_XX,"[0.13, 0.3, 0.1, 0.2, 0.06, 0.46, 0.45]","[-1.1102230246251565e-16, 0.0, 0.010000000000000009, 0.0, 0.0, 0.0]",NA,
1021_ITH_NEU_XX,"[0.11, 0.25, 0.05, 0.17, 0.06, 0.44, 0.61]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1076_ITH_NEU_XX,"[0.2, 0.29, 0.09, 0.18, 0.05, 0.48, 0.58]","[0.030000000000000027, 0.0, 0.010000000000000009, 0.0, 0.0, 0.0]",NA,
1082_WSI_NEU_XX,"[0.23, 0.33, 0.15, 0.06, 0.29, 0.11, 0.57]","[0.0, 0.010000000000000009, -1.1102230246251565e-16, 0.0, 0.0, -2.220446049250313e-16]",NA,
1076_IWW_NEU_XX,"[0.12, 0.25, 0.16, 0.15, 0.15, 0.4]","[0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA,
1020_ITH_NEU_XX,"[0.15, 0.34, 0.13, 0.2, 0.07, 0.51, 0.66]","[0.0, 0.0, 0.010000000000000009, 0.0, 0.0, -2.220446049250313e-16]",NA,
1048_MTI_NEU_XX,"[0.4, 0.56, 0.17, 0.15, 0.13, 0.34]","[0.0, 0.020000000000000018, 0.0, 0.0, 2.220446049250313e-16]",NA,
1030_TSI_NEU_XX,"[0.32, 0.52, 0.15, 0.52]","[-5.551115123125783e-17, 0.020000000000000018, 2.220446049250313e-16]",NA,
1071_IEO_NEU_XX,"[0.18, 0.35, 0.46]","[0.0, 0.0]",NA,
1083_TIE_NEU_XX,"[0.42, 0.14, 0.63, 0.14, 0.48]","[0.010000000000000009, 0.0, 2.220446049250313e-16, 0.010000000000000009]",NA,
1032_DFA_NEU_XX,"[0.3, 0.28, 0.06, 0.37]","[0.019999999999999907, -2.220446049250313e-16, 0.0]",NA,
1002_IWW_NEU_XX,"[0.08, 0.28, 0.16, 0.17, 0.14, 0.36]","[0.0, 0.0, 0.0, 0.0, 2.220446049250313e-16]",NA,
1061_DFA_NEU_XX,"[0.28, 0.42, 0.09, 0.54]","[0.009999999999999953, 0.030000000000000027, 0.0]",NA,
1042_IWL_NEU_XX,"[0.17, 0.2, 0.22, 0.04, 0.19, 0.35, 0.4]","[0.0, 1.1102230246251565e-16, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA,
1015_IEO_NEU_XX,"[0.16, 0.29, 0.31]","[0.0, 0.0]",NA,
1080_DFA_NEU_XX,"[0.59, 0.54, 0.16, 0.46]","[0.030000000000000027, 0.05999999999999983, 2.220446049250313e-16]",NA,
1054_IWW_NEU_XX,"[0.1, 0.25, 0.15, 0.16, 0.15, 0.38]","[5.551115123125783e-17, -1.1102230246251565e-16, 0.0, 0.0, 0.0]",NA,
1040_IWL_NEU_XX,"[0.08, 0.16, 0.21, 0.05, 0.19, 0.32, 0.4]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 2.220446049250313e-16, 0.019999999999999796]",NA,
1071_IWL_NEU_XX,"[0.12, 0.19, 0.19, 0.04, 0.25, 0.38, 0.45]","[0.0, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16, 0.0, 2.220446049250313e-16]",NA,
1013_IWW_NEU_XX,"[0.11, 0.29, 0.18, 0.17, 0.17, 0.41]","[0.0, 0.0, 2.220446049250313e-16, 0.0, 0.0]",NA,
1024_TIE_NEU_XX,"[0.28, 0.11, 0.45, 0.12, 0.36]","[0.0, 0.0, 0.0, 0.0]",NA,
1071_IOM_NEU_XX,"[0.18, 0.14, 0.13, 0.15, 0.11, 0.12, 0.32]","[0.0, 0.0, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA,
1042_IWW_NEU_XX,"[0.11, 0.33, 0.18, 0.17, 0.13, 0.36]","[0.0, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16]",NA,
1032_IEO_NEU_XX,"[0.19, 0.39, 0.52]","[-1.1102230246251565e-16, 0.0]",NA,
1019_ITS_NEU_XX,"[0.08, 0.22, 0.11, 0.18, 0.15, 0.47]","[0.010000000000000009, 0.0, 0.0, 0.0, 0.0]",NA,
1062_DFA_NEU_XX,"[0.29, 0.35, 0.09, 0.48]","[0.010000000000000009, 0.0, 0.0]",NA,
1090_IOM_NEU_XX,"[0.17, 0.13, 0.14, 0.2, 0.12, 0.09, 0.5]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1087_TAI_NEU_XX,"[0.27, 0.63, 0.19, 0.44, 0.39]","[-1.1102230246251565e-16, 0.010000000000000009, 0.0, 2.220446049250313e-16]",NA,
1068_IOM_NEU_XX,"[0.2, 0.27, 0.16, 0.22, 0.14, 0.11, 0.38]","[0.029999999999999916, 0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1050_MTI_NEU_XX,"[0.34, 0.56, 0.18, 0.22, 0.17, 0.3]","[0.0, 0.04999999999999982, 2.220446049250313e-16, 0.010000000000000009, 0.0]",NA,
1002_IOM_NEU_XX,"[0.16, 0.13, 0.12, 0.15, 0.09, 0.11, 0.35]","[0.0, 0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
1021_WSI_NEU_XX,"[0.2, 0.35, 0.14, 0.06, 0.31, 0.14, 0.47]","[0.0, 0.010000000000000009, 0.0, -1.1102230246251565e-16, 0.0, 0.0]",NA,
1058_TAI_NEU_XX,"[0.3, 0.64, 0.18, 0.61, 0.34]","[0.01000000000000012, 0.010000000000000009, 0.040000000000000036, 0.010000000000000231]",NA,
1050_IOM_NEU_XX,"[0.22, 0.13, 0.16, 0.18, 0.14, 0.11, 0.37]","[-5.551115123125783e-17, 0.010000000000000009, -1.1102230246251565e-16, 1.1102230246251565e-16, 0.0, -2.220446049250313e-16]",NA,
1045_IEO_NEU_XX,"[0.24, 0.41, 0.56]","[0.0, 0.0]",NA,
1033_IWL_NEU_XX,"[0.1, 0.18, 0.22, 0.04, 0.2, 0.35, 0.41]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1073_MTI_NEU_XX,"[0.32, 0.5, 0.2, 0.1, 0.18, 0.31]","[0.0, 0.0, 0.0, 0.010000000000000009, 0.0]",NA,
1027_MTI_NEU_XX,"[0.37, 0.45, 0.15, 0.17, 0.13, 0.52]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1002_TAI_NEU_XX,"[0.11, 0.36, 0.12, 0.37, 0.29]","[0.0, -2.220446049250313e-16, 2.220446049250313e-16, 0.0]",NA,
1021_IOM_NEU_XX,"[0.22, 0.16, 0.17, 0.2, 0.11, 0.1, 0.43]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16, 0.0]",NA,
1047_IOM_NEU_XX,"[0.22, 0.16, 0.15, 0.18, 0.11, 0.11, 0.34]","[0.0, 0.0, 0.0, 2.220446049250313e-16, -2.220446049250313e-16, 0.0]",NA,
1078_IWL_NEU_XX,"[0.14, 0.22, 0.24, 0.04, 0.21, 0.37, 0.33]","[0.0, 0.0, 0.0, -2.220446049250313e-16, 2.220446049250313e-16, 0.0]",NA,
1037_ITS_NEU_XX,"[0.14, 0.29, 0.14, 0.27, 0.21, 0.55]","[0.0, 0.0, 0.0, 0.0, 0.0]",NA,
1076_IEO_NEU_XX,"[0.34, 0.6, 0.64]","[0.030000000000000027, 0.040000000000000036]",NA,
1077_IEO_NEU_XX,"[0.18, 0.36, 0.46]","[0.0, 0.0]",NA,
1088_IWW_NEU_XX,"[0.09, 0.25, 0.13, 0.15, 0.14, 0.32]","[0.0, 0.0, 0.0, 0.0, -2.220446049250313e-16]",NA,
