train_loss,train_accuracy,val_loss,val_accuracy
1568.350556,189.8541301,273.35373,36.365852
1509.278314,189.2672715,289.91852,36.89202
1494.997007,188.5233808,302.579,36.402428
1477.560852,188.618118,316.96545,36.73378
1448.121867,191.7354987,350.86523,35.157387
1394.266693,195.9878823,395.5493,34.78615
1309.742654,204.5206698,454.60733,35.20233
1182.537343,221.6689796,525.71344,35.340927
1034.658336,241.3913133,596.5439,35.73287
882.8606627,262.9920912,663.10315,34.94631
745.8691041,288.9962523,724.1683,34.839878
626.7511241,328.6847589,772.46045,35.070934
530.8153383,342.868583,811.7899,34.71618
454.5439636,374.4049647,841.99146,35.153248
385.020822,385.2634177,869.3624,34.928516
334.5851134,412.9084156,889.1301,35.042778
289.7380348,434.8893583,906.065,34.89247
251.3385724,462.9537153,920.5724,34.96043
225.9233563,475.8981085,930.5718,33.983517
204.3032231,478.6514575,937.36505,34.515152
180.0422881,502.9052174,947.8242,34.848637
160.4141759,511.9982612,955.1693,34.797417
147.6133375,522.7707181,959.44165,34.49772
134.8652518,528.3790665,963.9928,34.94565
125.7643017,541.3509998,967.16254,34.16876
118.1097627,537.1304932,970.44946,34.930557
111.0009524,556.2146106,973.1817,34.58574
101.6575189,557.9321136,976.66675,34.321236
94.93312252,563.3892293,978.90045,34.72119
88.88793892,573.8878469,981.10504,34.835964
88.72044316,566.7991438,981.0928,34.711254
80.39530313,585.3861208,984.13666,35.18364
80.37812415,591.1176581,984.5766,34.86578
72.84832671,574.5371003,986.95026,34.965042
70.54890043,603.4226575,987.4948,34.706352
68.08239093,592.8702073,988.54956,35.165565
65.85285448,597.3377571,989.3999,34.677895
62.74936374,601.9823165,990.4377,35.12854
61.39279248,601.6830888,990.80414,34.783955
59.6681647,605.1953654,991.6784,34.97329
56.85096586,619.9278221,992.42847,34.547184
57.04784846,604.9224176,992.26636,34.743202
55.6084127,613.1137438,992.7601,34.52328
52.72158587,625.4554477,993.63574,35.052498
54.79806453,615.0363307,993.2878,34.810486
51.99188289,614.8709841,993.9459,34.956177
50.64185083,619.506413,994.9143,35.321243
48.04823981,628.5489206,995.1919,34.889297
54.1705979,606.121943,993.60455,34.773346
45.2855655,619.4731808,996.44385,34.92384
